author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u196,1,1,1,,Twitter_User,,u196,
u1960,0,0,0,,Twitter_User,,u1960,
u1961,2,2,2,,Twitter_User,,u1961,
u1962,5,3263,629.86,1202.27,Twitter_User,,u1962,
u1963,0,0,0,,Twitter_User,,u1963,
u1964,0,0,0,,Twitter_User,,u1964,
u1965,0,0,0,0,Twitter_User,,u1965,
u1966,2888,2888,2888,,Twitter_User,,u1966,
u1967,0,0,0,,Twitter_User,,u1967,
u1968,4,4,4,,Twitter_User,,u1968,
u1969,1,1,1,,Twitter_User,,u1969,
u197,133,133,133,,Twitter_User,,u197,
u1970,0,0,0,,Twitter_User,,u1970,
u1971,0,0,0,0,Twitter_User,,u1971,
u1972,0,0,0,,Twitter_User,,u1972,
u1973,6,6,6,,Twitter_User,,u1973,
u1974,1,2995,1697,1536.17,Twitter_User,,u1974,
u1975,3263,3263,3263,,Twitter_User,,u1975,
u1976,46,435,184,217.73,Twitter_User,,u1976,
u1977,0,0,0,,Twitter_User,,u1977,
u1978,6,6,6,,Twitter_User,,u1978,
u1979,19,19,19,,Twitter_User,,u1979,
u198,1,1,1,,Twitter_User,,u198,
u1980,0,0,0,,Twitter_User,,u1980,
u1981,53,53,53,,Twitter_User,,u1981,
u1982,0,0,0,,Twitter_User,,u1982,
u1983,6,6,6,,Twitter_User,,u1983,
u1984,806,806,806,,Twitter_User,,u1984,
u1985,1,1,1,,Twitter_User,,u1985,
u1986,0,5,1.22,1.92,Twitter_User,,u1986,
u1987,0,0,0,,Twitter_User,,u1987,
u1988,0,0,0,,Twitter_User,,u1988,
u1989,0,133,19.14,50.21,Twitter_User,,u1989,
u199,0,0,0,,Twitter_User,,u199,
u1990,0,2995,357.22,991.3,Twitter_User,,u1990,
u1991,1,40,20.5,27.58,Twitter_User,,u1991,
u1992,0,0,0,,Twitter_User,,u1992,
u1993,0,0,0,,Twitter_User,,u1993,
u1994,0,0,0,,Twitter_User,,u1994,
u1995,54,54,54,,Twitter_User,,u1995,
u1996,1,1,1,,Twitter_User,,u1996,
u1997,0,0,0,,Twitter_User,,u1997,
u1998,6,6,6,,Twitter_User,,u1998,
u1999,0,0,0,,Twitter_User,,u1999,
u2,0,0,0,,Twitter_User,,u2,
u20,0,0,0,0,Twitter_User,,u20,
u200,8,3429,2144,1862.51,Twitter_User,,u200,
u2000,81,81,81,,Twitter_User,,u2000,
u2001,0,0,0,,Twitter_User,,u2001,
u2002,999,999,999,,Twitter_User,,u2002,
u2003,1,1,1,,Twitter_User,,u2003,
u2004,9,9,9,,Twitter_User,,u2004,
u2005,0,72,18.5,35.68,Twitter_User,,u2005,
u2006,0,22,4.22,5.83,Twitter_User,,u2006,
u2007,0,7,1.83,1.95,Twitter_User,,u2007,
u2008,0,1,0.5,0.71,Twitter_User,,u2008,
u2009,0,0,0,,Twitter_User,,u2009,
u201,0,0,0,,Twitter_User,,u201,
u2010,0,19,12.67,10.97,Twitter_User,,u2010,
u2011,2995,2995,2995,,Twitter_User,,u2011,
